Nombre;URL Licensing;Base Country;Run by women
Atypical;https://atypical.gr/help/licencing;Greece;No
Bastarda;;Colombia;No
Blackletra;https://blackletra.com/licenses;Brazil;No
Blancoletters;https://www.blancoletters.com/eula;Spain;No
Original Type;https://originaltype.com/end-user-license-agreements/;The Netherlands;No
Blast Foundry;https://blast-foundry.com/licensing;The Netherlands, Poland;Yes
Blaze Type;https://blazetype.eu/eula;France;No
Bloom Type Foundry;https://bloomtype.com/about/#licensing;Sweden;No
Bold Monday;https://www.boldmonday.com/support/license-types/;The Netherlands;No
Briefcase Type Foundry;https://www.briefcasetype.com/help/licensing-and-usage-of-fonts;Czechia;Yes
Bureau Brut;https://bureaubrut.com/en/retail-typefaces/;France;No
Lift Type;https://www.lift-type.fr/informations/;France;No
Pizza Typefaces;https://typefaces.pizza/licences;France;No
Production Type;https://help.productiontype.com/docs/licensing/what_is_a_license;France;Yes
Typofonderie;https://typofonderie.com/license;France;Yes
CakeType;https://www.caketype.com/support#about-our-licenses;The Netherlands;No
Calderón;https://www.estudiocalderon.com/about/licenses;Colombia;No
Camelot;https://camelot-typefaces.com/info;Germany;Yes
